"","log2FoldChange","padj"
"LFT_00917",-0.606791211653083,0.0117200207742049
"LFT_01972",1.02728501232952,0.0117200207742049
"LFT_01731",0.610297030532517,0.0118626944202477
"LFT_01906",-0.578302818331913,0.0119160524421489
"LFT_01992",-0.538127390691394,0.0123236768416516
"LFT_00529",-0.846741628982012,0.0123328593339525
"LFT_02288",-0.556769072474722,0.0125545152956798
"LFT_01773",-0.754914083236331,0.0128284510979024
"LFT_01237",-0.637166020803746,0.0130565807728157
"LFT_01502",0.744763524751607,0.0133691956292055
"LFT_01173",0.503423032408942,0.013578215246342
"LFT_00471",-0.727351594760894,0.0136230898178207
"LFT_00665",1.07919793602772,0.0136230898178207
"LFT_02138",-0.745954575608796,0.0136688059695173
"LFT_00710",1.15096627219941,0.0137479169729946
"LFT_00409",1.07383612168305,0.0138725089005828
"LFT_01004",-0.870977052882681,0.0142330045549926
"LFT_00870",-0.639717423496724,0.0146862214159968
"LFT_01307",-0.56129481595461,0.0147249105921002
"LFT_02196",0.860260079908863,0.0147757741051553
"LFT_00108",-0.457830681223871,0.0147877563914856
"LFT_02116",0.744583255900262,0.015489781967505
"LFT_00190",-1.1889548101623,0.0155822167586661
"LFT_00481",-0.545419535096842,0.0156907899979582
"LFT_01351",0.693310423551107,0.016038754180927
"LFT_01940",-0.640067570431946,0.016038754180927
"LFT_01814",0.860494166176944,0.016038754180927
"LFT_00161",-0.585994087574854,0.016038754180927
"LFT_00724",0.690306340871374,0.0161838520222892
"LFT_01976",0.845986642974423,0.0162212910131034
"LFT_01471",0.652143655784493,0.016274281091442
"LFT_02539",0.624189997136591,0.016274281091442
"LFT_00200",1.09439961445093,0.0162964343271452
"LFT_01158",-0.471036047832402,0.0163550475077629
"LFT_02289",-1.15563371125176,0.0163550475077629
"LFT_02434",1.13055121098532,0.0163991343997237
"LFT_01843",0.689457909516447,0.0165712127516541
"LFT_00392",0.502608778877124,0.0167257179260071
"LFT_00082",-0.645971307638057,0.0168694047663016
"LFT_01428",-0.622591184298425,0.0168968799107751
"LFT_01732",0.66073026298642,0.0169659845562698
"LFT_01587",-0.439796873529914,0.0169861632889912
"LFT_01090",-0.520884247275404,0.017241949644129
"LFT_01427",0.796038773857398,0.0174372382224735
"LFT_02008",0.545683740422024,0.0175338065817709
"LFT_01150",-0.500658894080404,0.0175945396004448
"LFT_01615",-0.496660090103018,0.0177960943866448
"LFT_01927",-0.654124172114124,0.0179428125448503
"LFT_00079",-0.493712571840975,0.0179538809831814
"LFT_02142",-0.57078358646996,0.018035568749431
"LFT_00625",-0.816203573167119,0.018035568749431
"LFT_00207",-0.624375429956957,0.0181655933185746
"LFT_00693",-0.788726223871991,0.018234468071476
"LFT_00420",3.62925325142409,0.0184882326548648
"LFT_00178",-0.535861529349466,0.0189791690476267
"LFT_01833",1.08544575395708,0.0192275494649164
"LFT_01766",-0.756889343510145,0.0192812777064025
"LFT_01127",1.52633923775878,0.0197410755790321
"LFT_01963",0.441459492751548,0.019878959157712
"LFT_02044",-0.692396718329033,0.0203097439925393
"LFT_01469",0.68826081372695,0.0203097439925393
"LFT_00702",-0.762465671177924,0.0203097439925393
"LFT_01087",0.868130920252986,0.0203097439925393
"LFT_00518",-1.36274977828951,0.0205984583593033
"LFT_00882",-0.483755878289454,0.0212489342889252
"LFT_02275",-0.668376176970259,0.0212489342889252
"LFT_01671",-0.516052725555078,0.0215871477142058
"LFT_00302",-0.55339747080934,0.0216669987263025
"LFT_00423",1.57853937606221,0.0223746203599622
"LFT_02194",1.03190126770276,0.0224814143943935
"LFT_02046",-0.644370022308361,0.0228659256410305
"LFT_01352",-0.548395416303134,0.02322156069173
"LFT_00226",1.00206475714831,0.0233869301955977
"LFT_01439",0.87310233197109,0.0235541588829668
"LFT_00914",0.799394043036231,0.0235868567603167
"LFT_01935",-0.51380481205305,0.0240841231542398
"LFT_01131",0.592231508179598,0.0246041546087236
"LFT_01157",-0.380248585264626,0.0246044977678102
"LFT_01988",-0.524525714214125,0.0251635996786527
"LFT_02013",-0.56236373765165,0.0251635996786527
"LFT_02104",-1.27831730673473,0.0253327200177127
"LFT_02257",0.626534980534222,0.0253327200177127
"LFT_02301",0.926671433776804,0.0258658530149758
"LFT_02096",-0.539777336243431,0.026161542398744
"LFT_00541",-2.33536801683426,0.026161542398744
"LFT_01622",-0.599442286727966,0.026161542398744
"LFT_02541",0.435902975463183,0.026965215925555
"LFT_01659",-0.525904821342586,0.0272576570834404
"LFT_00053",0.808968038017019,0.0286279094195173
"LFT_00211",-0.582622162339613,0.0288584355824209
"LFT_00395",0.799220780787323,0.029100950559215
"LFT_00869",-0.492485286414612,0.0299475647196563
"LFT_00517",-1.08703072339208,0.0301262647092305
